t;hh:mm;hora;minuto;G(t);T(t) [ºC];T(t) [K]
0;00:00;0;0;0;8,673761;281,823761
0,006944444;00:10;0;10;0;8,446409;281,596409
0,013888889;00:20;0;20;0;8,217292;281,367292
0,020833333;00:30;0;30;0;8,004133;281,154133
0,027777778;00:40;0;40;0;7,801577;280,951577
0,034722222;00:50;0;50;0;7,616096;280,766096
0,041666667;01:00;1;0;0;7,449502;280,599502
0,048611111;01:10;1;10;0;7,263404;280,413404
0,055555556;01:20;1;20;0;7,083143;280,233143
0,0625;01:30;1;30;0;6,888254;280,038254
0,069444444;01:40;1;40;0;6,732191;279,882191
0,076388889;01:50;1;50;0;6,580315;279,730315
0,083333333;02:00;2;0;0;6,439424;279,589424
0,090277778;02:10;2;10;0;6,278575;279,428575
0,097222222;02:20;2;20;0;6,129527;279,279527
0,104166667;02:30;2;30;0;5,976890;279,126890
0,111111111;02:40;2;40;0;5,820337;278,970337
0,118055556;02:50;2;50;0;5,701468;278,851468
0,125;03:00;3;0;0;5,560087;278,710087
0,131944444;03:10;3;10;0;5,445840;278,595840
0,138888889;03:20;3;20;0;5,306906;278,456906
0,145833333;03:30;3;30;0;5,174660;278,324660
0,152777778;03:40;3;40;0;5,054704;278,204704
0,159722222;03:50;3;50;0;4,928711;278,078711
0,166666667;04:00;4;0;0;4,786514;277,936514
0,173611111;04:10;4;10;0;4,687221;277,837221
0,180555556;04:20;4;20;0;4,578358;277,728358
0,1875;04:30;4;30;0;4,460631;277,610631
0,194444444;04:40;4;40;0;4,344698;277,494698
0,201388889;04:50;4;50;0;4,226319;277,376319
0,208333333;05:00;5;0;0;4,123328;277,273328
0,215277778;05:10;5;10;0;4,024198;277,174198
0,222222222;05:20;5;20;0;3,926482;277,076482
0,229166667;05:30;5;30;0;3,818162;276,968162
0,236111111;05:40;5;40;0,019575856;3,711093;276,861093
0,243055556;05:50;5;50;0,557911909;3,616041;276,766041
0,25;06:00;6;0;2,390973355;3,554867;276,704867
0,256944444;06:10;6;10;6,879282219;3,570473;276,720473
0,263888889;06:20;6;20;14,54594889;3,725122;276,875122
0,270833333;06:30;6;30;27,93855356;4,016857;277,166857
0,277777778;06:40;6;40;41,51604133;4,410332;277,560332
0,284722222;06:50;6;50;59,12343665;4,838717;277,988717
0,291666667;07:00;7;0;82,54703643;5,351767;278,501767
0,298611111;07:10;7;10;109,519304;5,966993;279,116993
0,305555556;07:20;7;20;139,3066884;6,642469;279,792469
0,3125;07:30;7;30;173,233279;7,402991;280,552991
0,319444444;07:40;7;40;211,1272431;8,236270;281,386270
0,326388889;07:50;7;50;252,1566069;9,110712;282,260712
0,333333333;08:00;8;0;291,7819467;10,020174;283,170174
0,340277778;08:10;8;10;328,8765633;10,915117;284,065117
0,347222222;08:20;8;20;366,5638934;11,777270;284,927270
0,354166667;08:30;8;30;405,6084829;12,587004;285,737004
0,361111111;08:40;8;40;443,1712887;13,338227;286,488227
0,368055556;08:50;8;50;480,6808048;14,023709;287,173709
0,375;09:00;9;0;516,177814;14,627406;287,777406
0,381944444;09:10;9;10;554,120174;15,159108;288,309108
0,388888889;09:20;9;20;590,9390642;15,635637;288,785637
0,395833333;09:30;9;30;626,0261153;16,064908;289,214908
0,402777778;09:40;9;40;660,7236126;16,461425;289,611425
0,409722222;09:50;9;50;694,9891245;16,822567;289,972567
0,416666667;10:00;10;0;726,5247417;17,150680;290,300680
0,423611111;10:10;10;10;758,262099;17,479989;290,629989
0,430555556;10:20;10;20;785,6557912;17,811093;290,961093
0,4375;10:30;10;30;813,5655247;18,130288;291,280288
